aX,aY,aZ,gX,gY,gZ
-0.895,-0.354,0.501,192.810,19.897,154.297
-0.993,-0.047,0.557,201.843,3.052,166.504
-1.026,0.197,0.817,208.679,-20.508,165.833
-0.955,0.439,1.239,209.351,-41.809,155.884
-0.795,0.543,1.600,194.458,-53.162,137.268
-0.561,0.695,1.724,151.978,-46.570,121.094
-0.463,0.958,1.508,96.619,-21.240,106.812
-0.298,1.574,0.492,19.348,46.082,92.041
-0.329,1.874,0.038,-1.343,69.763,68.237
-0.346,2.092,-0.372,-9.644,87.280,31.494
-0.281,1.934,-0.651,-0.244,96.741,-20.813
-0.098,1.328,-0.758,17.151,96.191,-83.191
